00	p000	src0	s0	box_e23cd72c530e4999	text_e23cd72c530e4999	text	review:incomplete-coverage	dup=N	OCR=VILLAIN TO KILL	CTX=VILLAIN TO KILL || Jiscord.gg/asuran / asurascans.com || DETE
01	p005	src1	s4	box_be1b011a2638412a	text_be1b011a2638412a	speech_bubble	review:incomplete-coverage	dup=N	OCR=... THEY'RE FAST.	CTX=I GOT / DARK STAR TO / LOOK AFTER THEM / WHILE THEY WENT / ON AHEAD. || PRINCE AND HIS / PARTY WILL BE GOING / AFTER THEM. || BEFORE THAT... / WE SHOULD TAKE / CARE OF- || ... THEY'RE FAST. || THEY LEFT THEIR / COMRADE BEHIND / AND RAN AWAY? || SO WHICH WAY / SHOULD WE GO?
02	p023	src6	s4	box_a566dec6588a461b	text_a566dec6588a461b	speech_bubble	review:crop-edge-text	dup=N	OCR=IDIOTS...! I'M / OVER HERE!	CTX=DON'T TELL / ME HE WENT OFF / TO DO HIS OWN / THING AGAIN. || I WARNED HIM / BEFOREHAND, / TOO... || HE REALLY HAS / NO PATIENCE. || IDIOTS...! I'M / OVER HERE! || ...PLEASE FALL / FORITL || ...PLEASE FALL / FOR IT! || ...PLLANLTALL / FOR IT!
03	p024	src6	s5	box_d0da59b747e24694	text_d0da59b747e24694	speech_bubble	review:crop-edge-text	dup=N	OCR=...PLEASE FALL / FORITL	CTX=I WARNED HIM / BEFOREHAND, / TOO... || HE REALLY HAS / NO PATIENCE. || IDIOTS...! I'M / OVER HERE! || ...PLEASE FALL / FORITL || ...PLEASE FALL / FOR IT! || ...PLLANLTALL / FOR IT!
04	p024	src6	s5	box_9bf69953b6d8479c	text_9bf69953b6d8479c	speech_bubble	review:crop-edge-text	dup=N	OCR=...PLEASE FALL / FOR IT!	CTX=HE REALLY HAS / NO PATIENCE. || IDIOTS...! I'M / OVER HERE! || ...PLEASE FALL / FORITL || ...PLEASE FALL / FOR IT! || ...PLLANLTALL / FOR IT!
05	p024	src6	s5	box_538c3e67b2564b22	text_538c3e67b2564b22	speech_bubble	review:crop-edge-text	dup=N	OCR=...PLLANLTALL / FOR IT!	CTX=IDIOTS...! I'M / OVER HERE! || ...PLEASE FALL / FORITL || ...PLEASE FALL / FOR IT! || ...PLLANLTALL / FOR IT!
06	p027	src8	s1	box_f61ce21b9f6d408a	text_f61ce21b9f6d408a	text	review:crop-edge-text	dup=N	OCR=1285 / (ID:MET	CTX=1285 / (ID:MET || DARK STAR... / WILL BE OKAY, / RIGHT? || Meow- || SHH...!
07	p031	src8	s5	box_3686fc49acd34585	text_3686fc49acd34585	speech_bubble	review:crop-edge-text	dup=N	OCR=SHH...!	CTX=1285 / (ID:MET || DARK STAR... / WILL BE OKAY, / RIGHT? || Meow- || SHH...! || ...EXCUSE ME. || E / 1 / 15.x0A2S || EEK...!
08	p032	src8	s6	box_073ec27707a24ffd	text_073ec27707a24ffd	speech_bubble	review:incomplete-coverage	dup=N	OCR=...EXCUSE ME.	CTX=DARK STAR... / WILL BE OKAY, / RIGHT? || Meow- || SHH...! || ...EXCUSE ME. || E / 1 / 15.x0A2S || EEK...!
09	p032	src8	s6	box_a769881e84af4100	text_a769881e84af4100	text	review:crop-edge-text	dup=N	OCR=E / 1 / 15.x0A2S	CTX=Meow- || SHH...! || ...EXCUSE ME. || E / 1 / 15.x0A2S || EEK...!
10	p034	src10	s0	box_158262c351b847d6	text_158262c351b847d6	speech_bubble	review:incomplete-coverage	dup=N	OCR=N-NO!	CTX=N-NO! || WE'RE JUST... / TAKING A SHORT / BREAK BECAUSE MY / LEGS HURT. || AHA... I JUST / ASKED BECAUSE / IT'S SO CHAOTIC / OUT THERE, || AND I THOUGHT... / YOU WERE BEING CHASED / BY SOMEONE.
